"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 02 02:52:49 UTC 2024","Fri Feb 02 02:52:49 UTC 2024","387","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Fri Feb 02 03:12:39 UTC 2024","Fri Feb 02 03:12:40 UTC 2024","1460","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Fri Feb 02 02:31:14 UTC 2024","Fri Feb 02 02:31:20 UTC 2024","6517","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Fri Feb 02 03:24:40 UTC 2024","Fri Feb 02 03:24:53 UTC 2024","13690","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Fri Feb 02 03:19:48 UTC 2024","Fri Feb 02 03:20:27 UTC 2024","38367","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Fri Feb 02 02:26:43 UTC 2024","Fri Feb 02 02:26:47 UTC 2024","4468","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Fri Feb 02 03:25:35 UTC 2024","Fri Feb 02 03:25:37 UTC 2024","1948","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Fri Feb 02 02:52:23 UTC 2024","Fri Feb 02 02:52:25 UTC 2024","1900","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Fri Feb 02 02:28:35 UTC 2024","Fri Feb 02 02:28:37 UTC 2024","2258","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","7. Review Review Page",""
"failed","Fri Feb 02 03:41:56 UTC 2024","Fri Feb 02 03:42:09 UTC 2024","13638","","21. Forgot password function","","","","2. Reset password",""
"passed","Fri Feb 02 03:24:54 UTC 2024","Fri Feb 02 03:24:57 UTC 2024","3638","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
